Item Name,Design Name,Code,New Arrivals,Best Sellers,Promo Items,Rate,Status,Usage unit,Unit,Size,Sub Collection,Collection,Thickness
DXN 5308X - LAMITAK HPL 4'x8' | URBAN SLATE,URBAN SLATE,DXN 5308X,FALSE,FALSE,TRUE,700000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
DXO 1338D - LAMITAK HPL 4'x8' | BRUNO CARACENI,BRUNO CARACENI,DXO 1338D,FALSE,FALSE,TRUE,700000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
DXO 1341DC - LAMITAK HPL 4'x8' | AIDEN PASHLEY,AIDEN PASHLEY,DXO 1341DC,FALSE,TRUE,TRUE,700000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
DXO 4323X - LAMITAK HPL 4'x8' | SULLIVAN FAUX DENIM,SULLIVAN FAUX DENIM,DXO 4323X,FALSE,TRUE,TRUE,700000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
DXO 5337D - LAMITAK HPL 4'x8' | STOFFA CREMA,STOFFA CREMA,DXO 5337D,FALSE,TRUE,FALSE,700000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
DXO 5338D - LAMITAK HPL 4'x8' | STOFFA GRIGIO,STOFFA GRIGIO,DXO 5338D,FALSE,TRUE,FALSE,700000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
DXO 5339D - LAMITAK HPL 4'x8' | STOFFA MOCA,STOFFA MOCA,DXO 5339D,FALSE,TRUE,FALSE,700000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
DXP 1360K - LAMITAK HPL 4'x8' | LUCIO ERCOLANO,LUCIO ERCOLANO,DXP 1360K,FALSE,FALSE,TRUE,750000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
DXP 1369K - LAMITAK HPL 4'x8' | CLAUDE BÉTON,CLAUDE BÉTON,DXP 1369K,FALSE,FALSE,TRUE,750000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
DXP 1387BS - LAMITAK HPL 4'x8' | MOOD CLOUDY CEMENT,MOOD CLOUDY CEMENT,DXP 1387BS,FALSE,TRUE,TRUE,750000,Active,sht,Sheet,4'x8' / 1220 x 2440mm,Patterns,Patterns,0.7mm
